GAME_ID,LAST_GAME_ID,LAST_GAME_DATE_EST,LAST_GAME_HOME_TEAM_ID,LAST_GAME_HOME_TEAM_CITY,LAST_GAME_HOME_TEAM_NAME,LAST_GAME_HOME_TEAM_ABBREVIATION,LAST_GAME_HOME_TEAM_POINTS,LAST_GAME_VISITOR_TEAM_ID,LAST_GAME_VISITOR_TEAM_CITY,LAST_GAME_VISITOR_TEAM_NAME,LAST_GAME_VISITOR_TEAM_CITY1,LAST_GAME_VISITOR_TEAM_POINTS
22200457,22100539,2022-01-01T00:00:00,1610612740,New Orleans,Pelicans,NOP,113,1610612749,Milwaukee,Bucks,MIL,136
22200458,22101185,2022-04-05T00:00:00,1610612760,Oklahoma City,Thunder,OKC,98,1610612757,Portland,Trail Blazers,POR,94
22200459,22200259,2022-11-22T00:00:00,1610612756,Phoenix,Suns,PHX,115,1610612747,Los Angeles,Lakers,LAL,105
22200460,22200096,2022-10-31T00:00:00,1610612758,Sacramento,Kings,SAC,115,1610612766,Charlotte,Hornets,CHA,108
22200461,22200270,2022-11-23T00:00:00,1610612765,Detroit,Pistons,DET,125,1610612762,Utah,Jazz,UTA,116
22200462,22200007,2022-10-19T00:00:00,1610612748,Miami,Heat,MIA,108,1610612741,Chicago,Bulls,CHI,116
22200463,22200233,2022-11-18T00:00:00,1610612752,New York,Knicks,NYK,101,1610612744,Golden State,Warriors,GSW,111
22200464,22100798,2022-02-05T00:00:00,1610612756,Phoenix,Suns,PHX,95,1610612764,Washington,Wizards,WAS,80
22200465,22101201,2022-04-07T00:00:00,1610612743,Denver,Nuggets,DEN,122,1610612763,Memphis,Grizzlies,MEM,109
22200466,22200280,2022-11-25T00:00:00,1610612739,Cleveland,Cavaliers,CLE,102,1610612749,Milwaukee,Bucks,MIL,117
22200467,22101228,2022-04-10T00:00:00,1610612755,Philadelphia,76ers,PHI,118,1610612765,Detroit,Pistons,DET,106
22200468,22200400,2022-12-11T00:00:00,1610612737,Atlanta,Hawks,ATL,123,1610612741,Chicago,Bulls,CHI,122
